region_id,year,quarter,buildings_count,apartments_count,total_living_area
75,2025,3,1,34,1218.0
59,2025,3,6,2005,106592.0
6,2025,3,55,12543,509458.0
43,2025,3,32,491,27874.0
82,2025,3,2,268,13348.0
3,2025,3,88,6147,291818.0
23,2025,3,21,3620,178463.0
74,2025,3,2,175,9167.0
8,2025,3,83,3965,202478.0
52,2025,3,10,1327,71448.0
41,2025,3,9,1630,82379.0
55,2025,3,2,423,23565.0
35,2025,3,9,2152,108146.0
17,2025,3,16,3453,161821.0
53,2025,3,6,635,28603.0
9,2025,3,37,11971,613631.0
14,2025,3,7,2426,125445.0
12,2025,3,30,1728,79535.0
20,2025,3,7,2634,159892.0
64,2025,3,2,847,38290.0
7,2025,3,41,13922,739660.0
46,2025,3,5,562,30462.0
51,2025,3,10,954,49574.0
42,2025,3,2,52,4153.0
68,2025,3,1,654,30811.0
28,2025,3,6,1042,75143.0
13,2025,3,22,5629,271211.0
34,2025,3,7,1051,47906.0
18,2025,3,18,3752,186380.0
72,2025,3,12,1855,81314.0
24,2025,3,18,1626,81649.0
1,2025,3,35,18576,1060648.0
2,2025,3,25,7372,302701.0
60,2025,3,2,166,8107.0
38,2025,3,40,3280,161668.0
58,2025,3,2,205,10811.0
85,2025,3,27,2881,133596.0
87,2025,3,15,1724,99924.0
88,2025,3,2,287,14865.0
50,2025,2,14,3046,133127.0
5,2025,2,15,2456,119734.0
56,2025,2,8,908,39000.0
76,2025,2,8,531,30589.0
61,2025,2,7,1464,87261.0
66,2025,2,5,1497,81976.0
77,2025,2,1,72,5732.0
83,2025,2,6,987,51746.0
49,2025,2,3,134,10284.0
63,2025,2,2,156,9811.0
48,2025,2,8,720,42110.0
71,2025,2,4,457,24057.0
45,2025,2,6,881,42895.0
47,2025,2,5,440,25357.0
11,2025,2,52,8281,391507.0
27,2025,2,19,3054,148619.0
67,2025,2,7,516,22756.0
69,2025,2,4,1144,67526.0
33,2025,2,13,1447,83547.0
21,2025,2,5,798,40296.0
4,2025,2,57,8295,386764.0
10,2025,2,9,3757,197269.0
29,2025,2,20,3576,180997.0
19,2025,2,27,5228,274696.0
44,2025,2,18,4172,189697.0
70,2025,2,5,576,26277.0
40,2025,2,9,1827,85114.0
57,2025,2,8,2026,96937.0
65,2025,2,12,766,39173.0
32,2025,2,4,459,22156.0
22,2025,2,3,344,17135.0
30,2025,2,21,1826,90149.0
31,2025,2,7,607,37942.0
15,2025,2,21,5956,269976.0
54,2025,2,4,374,21392.0
25,2025,2,12,2019,104585.0
16,2025,2,24,3044,125446.0
26,2025,2,6,668,38021.0
37,2025,2,8,1285,63552.0
36,2025,2,9,881,46494.0
62,2025,2,5,226,12958.0
75,2025,2,3,338,17308.0
59,2025,2,7,597,33571.0
6,2025,2,71,6445,284421.0
43,2025,2,41,403,25649.0
3,2025,2,100,12193,561534.0
79,2025,2,2,926,40546.0
23,2025,2,19,5746,268178.0
74,2025,2,2,216,10771.0
8,2025,2,42,8599,438481.0
52,2025,2,6,1429,73017.0
41,2025,2,17,1238,64220.0
55,2025,2,1,150,8872.0
35,2025,2,4,994,49524.0
17,2025,2,19,3984,193610.0
53,2025,2,7,704,33253.0
9,2025,2,12,3194,146152.0
14,2025,2,3,1119,51240.0
12,2025,2,9,1868,92484.0
20,2025,2,7,611,32993.0
64,2025,2,4,498,32688.0
7,2025,2,37,8113,393288.0
46,2025,2,5,256,13760.0
51,2025,2,2,230,12206.0
42,2025,2,4,803,36139.0
68,2025,2,2,167,8205.0
28,2025,2,6,1029,55158.0
13,2025,2,26,8757,439116.0
34,2025,2,11,135,7804.0
18,2025,2,24,4214,218464.0
72,2025,2,3,583,27932.0
24,2025,2,18,2115,92383.0
1,2025,2,40,19210,1024047.0
2,2025,2,30,12003,473966.0
39,2025,2,11,1524,87090.0
86,2025,2,1,40,2144.0
60,2025,2,5,533,30415.0
38,2025,2,29,6476,320064.0
58,2025,2,2,193,10743.0
85,2025,2,12,1564,78545.0
87,2025,2,1,140,10803.0
88,2025,2,4,813,35708.0
50,2025,1,5,1688,89381.0
5,2025,1,22,5544,233961.0
56,2025,1,7,531,25490.0
66,2025,1,4,534,33507.0
77,2025,1,1,8,1026.0
83,2025,1,2,447,24427.0
49,2025,1,2,185,8640.0
63,2025,1,1,28,1639.0
48,2025,1,10,720,33603.0
71,2025,1,1,136,6820.0
45,2025,1,8,1201,61449.0
47,2025,1,1,182,11009.0
11,2025,1,29,4313,214754.0
78,2025,1,7,240,11688.0
27,2025,1,17,2218,102259.0
67,2025,1,2,408,20043.0
69,2025,1,1,396,29030.0
33,2025,1,4,393,22332.0
21,2025,1,7,1060,51490.0
4,2025,1,39,9461,436256.0
10,2025,1,13,2827,156352.0
29,2025,1,12,1922,87752.0
19,2025,1,20,3915,197298.0
44,2025,1,13,2556,128538.0
70,2025,1,1,135,6427.0
40,2025,1,5,587,24534.0
57,2025,1,3,754,33604.0
65,2025,1,2,265,14216.0
32,2025,1,12,672,37374.0
22,2025,1,4,749,44491.0
30,2025,1,16,1372,61864.0
31,2025,1,7,584,28037.0
15,2025,1,19,4809,237551.0
54,2025,1,4,434,26404.0
25,2025,1,5,735,43925.0
16,2025,1,17,1610,80006.0
26,2025,1,2,151,6818.0
37,2025,1,3,297,15291.0
36,2025,1,5,844,42355.0
62,2025,1,7,501,28647.0
75,2025,1,1,325,18400.0
6,2025,1,38,7789,340890.0
43,2025,1,41,535,30490.0
3,2025,1,41,8518,375990.0
23,2025,1,10,2280,115260.0
74,2025,1,8,742,39706.0
8,2025,1,47,5544,304639.0
52,2025,1,7,1587,88473.0
41,2025,1,14,1234,59507.0
55,2025,1,2,317,18299.0
35,2025,1,11,2642,132926.0
17,2025,1,17,2453,125806.0
53,2025,1,6,674,30604.0
9,2025,1,13,5022,209309.0
14,2025,1,3,301,15566.0
12,2025,1,13,1796,93894.0
20,2025,1,2,418,21190.0
64,2025,1,1,453,20921.0
7,2025,1,27,10395,494050.0
46,2025,1,15,1287,68006.0
51,2025,1,6,983,55601.0
42,2025,1,1,96,6375.0
68,2025,1,13,2098,106357.0
28,2025,1,8,1566,84483.0
13,2025,1,21,4172,212175.0
34,2025,1,8,1552,71652.0
18,2025,1,9,1507,80983.0
72,2025,1,7,995,45995.0
24,2025,1,7,533,27494.0
1,2025,1,20,14130,772456.0
2,2025,1,22,13218,539465.0
39,2025,1,5,645,33217.0
60,2025,1,2,165,7815.0
38,2025,1,33,5854,261803.0
58,2025,1,2,96,4396.0
85,2025,1,5,785,38517.0
87,2025,1,2,160,10337.0
50,2024,4,8,1278,58167.0
5,2024,4,35,8794,393473.0
56,2024,4,14,2306,124262.0
61,2024,4,16,3273,182432.0
66,2024,4,3,1106,59850.0
77,2024,4,2,126,6798.0
83,2024,4,1,96,5437.0
49,2024,4,3,519,25265.0
63,2024,4,1,84,5979.0
48,2024,4,11,1091,63295.0
71,2024,4,9,739,41144.0
45,2024,4,16,2027,88245.0
47,2024,4,7,727,48666.0
11,2024,4,35,6898,371592.0
78,2024,4,6,487,22397.0
27,2024,4,5,874,47513.0
67,2024,4,4,596,29215.0
69,2024,4,16,2731,147166.0
33,2024,4,11,1661,98421.0
21,2024,4,14,2153,133210.0
4,2024,4,102,14138,651349.0
10,2024,4,19,6262,314078.0
29,2024,4,34,7388,347221.0
19,2024,4,26,3900,189570.0
44,2024,4,9,1557,88161.0
70,2024,4,3,192,8341.0
40,2024,4,12,1974,94126.0
57,2024,4,9,1941,89420.0
65,2024,4,10,374,19085.0
32,2024,4,11,654,30093.0
22,2024,4,10,1922,92332.0
30,2024,4,17,1392,63127.0
31,2024,4,37,748,48048.0
15,2024,4,22,5529,263694.0
54,2024,4,8,674,42670.0
25,2024,4,8,1113,59756.0
16,2024,4,37,3420,172956.0
26,2024,4,5,1077,59956.0
81,2024,4,5,845,47825.0
37,2024,4,4,721,35577.0
36,2024,4,10,1139,62572.0
62,2024,4,3,143,8286.0
75,2024,4,7,1248,61122.0
59,2024,4,5,1115,62723.0
6,2024,4,33,10982,463408.0
43,2024,4,4,667,37821.0
3,2024,4,64,19544,840444.0
79,2024,4,1,310,15019.0
23,2024,4,20,4149,198715.0
8,2024,4,143,6784,332046.0
52,2024,4,2,463,26188.0
41,2024,4,47,2091,106332.0
35,2024,4,12,3437,190553.0
17,2024,4,15,3567,172135.0
53,2024,4,4,423,19675.0
9,2024,4,70,28745,1296924.0
14,2024,4,2,782,34941.0
12,2024,4,13,2376,120935.0
20,2024,4,14,1995,125324.0
64,2024,4,5,690,32910.0
7,2024,4,76,12811,605870.0
46,2024,4,16,1638,91587.0
51,2024,4,6,1039,44368.0
42,2024,4,2,60,3733.0
68,2024,4,4,647,34141.0
28,2024,4,6,1984,116005.0
13,2024,4,28,9652,479343.0
34,2024,4,3,461,23124.0
18,2024,4,15,2604,154831.0
72,2024,4,3,685,31108.0
24,2024,4,6,1031,43888.0
1,2024,4,35,26221,1310942.0
2,2024,4,16,8415,334307.0
39,2024,4,6,1254,74134.0
86,2024,4,1,12,243.0
60,2024,4,3,259,13722.0
38,2024,4,27,2688,141355.0
58,2024,4,2,198,11223.0
85,2024,4,7,865,41261.0
50,2024,3,9,950,40742.0
5,2024,3,40,10270,450300.0
56,2024,3,28,4911,256536.0
76,2024,3,2,234,10913.0
61,2024,3,13,2111,121298.0
73,2024,3,2,62,4510.0
66,2024,3,10,1300,86337.0
77,2024,3,1,52,3406.0
83,2024,3,5,705,52633.0
49,2024,3,2,229,11842.0
63,2024,3,1,78,3376.0
48,2024,3,9,973,55491.0
71,2024,3,2,191,10797.0
45,2024,3,17,2528,119147.0
47,2024,3,7,838,53331.0
11,2024,3,29,5803,278137.0
78,2024,3,2,208,8756.0
27,2024,3,15,2234,105418.0
67,2024,3,4,840,47165.0
69,2024,3,1,252,13405.0
33,2024,3,12,1534,88472.0
21,2024,3,10,1389,64908.0
4,2024,3,68,15177,739904.0
10,2024,3,16,3404,176770.0
29,2024,3,20,5370,271597.0
19,2024,3,17,3514,178073.0
44,2024,3,17,3085,143895.0
70,2024,3,7,688,23934.0
40,2024,3,11,1863,96597.0
57,2024,3,6,1492,76458.0
65,2024,3,7,645,27997.0
32,2024,3,4,1035,52029.0
22,2024,3,18,592,37559.0
30,2024,3,23,2415,112481.0
31,2024,3,7,707,36834.0
15,2024,3,32,6057,294553.0
54,2024,3,3,287,18726.0
25,2024,3,13,2838,136899.0
16,2024,3,63,6112,288821.0
26,2024,3,18,2924,162860.0
81,2024,3,1,188,8521.0
37,2024,3,8,1647,75819.0
36,2024,3,5,491,25037.0
62,2024,3,4,164,9518.0
75,2024,3,6,1089,55351.0
59,2024,3,2,766,38989.0
6,2024,3,25,4680,197058.0
43,2024,3,45,1151,60286.0
82,2024,3,1,208,9881.0
3,2024,3,24,8361,384770.0
79,2024,3,6,648,35034.0
23,2024,3,25,4705,229707.0
74,2024,3,4,362,20205.0
8,2024,3,60,5267,252238.0
52,2024,3,4,1684,78414.0
41,2024,3,43,572,30463.0
55,2024,3,7,1213,73207.0
35,2024,3,11,2189,114536.0
17,2024,3,25,7479,361998.0
53,2024,3,3,337,20445.0
9,2024,3,83,10049,443408.0
14,2024,3,11,3038,128514.0
12,2024,3,31,3405,184086.0
20,2024,3,22,1011,57305.0
64,2024,3,10,985,47512.0
7,2024,3,36,9761,463146.0
46,2024,3,3,191,11072.0
51,2024,3,1,147,7861.0
42,2024,3,9,188,11745.0
68,2024,3,3,787,43864.0
28,2024,3,5,1390,69111.0
13,2024,3,29,8127,403768.0
34,2024,3,23,1873,88524.0
18,2024,3,22,4108,218177.0
72,2024,3,14,2581,124159.0
24,2024,3,20,2395,124543.0
1,2024,3,31,23749,1296608.0
2,2024,3,14,5576,301675.0
84,2024,3,4,281,15753.0
39,2024,3,7,1294,75875.0
86,2024,3,1,40,2144.0
60,2024,3,6,490,27063.0
38,2024,3,39,3640,170545.0
58,2024,3,7,558,24189.0
85,2024,3,3,446,22926.0
87,2024,3,3,372,22965.0
50,2024,2,6,886,43747.0
5,2024,2,34,8697,389456.0
56,2024,2,26,2309,125373.0
76,2024,2,2,133,5757.0
61,2024,2,15,2091,115259.0
73,2024,2,1,32,2330.0
66,2024,2,5,1084,73078.0
77,2024,2,3,260,15294.0
83,2024,2,2,303,21534.0
49,2024,2,6,935,48185.0
63,2024,2,1,280,16252.0
48,2024,2,8,764,40437.0
71,2024,2,5,351,22128.0
45,2024,2,10,1751,85261.0
47,2024,2,2,168,11112.0
11,2024,2,39,7425,364667.0
78,2024,2,7,346,14569.0
27,2024,2,10,1447,76714.0
67,2024,2,10,1864,95841.0
69,2024,2,1,486,27082.0
33,2024,2,16,2008,118131.0
21,2024,2,6,1048,47271.0
4,2024,2,48,11649,572844.0
10,2024,2,19,4095,192742.0
29,2024,2,21,4289,208917.0
19,2024,2,28,4491,240773.0
44,2024,2,31,4739,233701.0
70,2024,2,8,1124,50896.0
40,2024,2,12,1807,85176.0
57,2024,2,23,4809,201521.0
65,2024,2,6,779,38740.0
32,2024,2,6,1164,59808.0
22,2024,2,18,1232,65894.0
30,2024,2,32,3236,157052.0
31,2024,2,25,2861,132105.0
15,2024,2,41,6258,303109.0
