stats_id,month_date,region_id,obj_cnt,total_area,living_area,parking_cnt
208,2021-03-01,24,5,38400,25400,0
209,2021-03-01,47,4,23500,16800,0
210,2021-04-01,17,16,283600,179700,188
211,2021-04-01,19,11,216500,142000,166
212,2021-04-01,25,12,111200,68500,68
213,2021-04-01,42,9,93100,64500,12
214,2021-04-01,14,7,102500,68700,91
215,2021-04-01,66,3,6100,5500,0
216,2021-04-01,7,34,619300,408000,769
217,2021-04-01,27,13,164100,103000,105
218,2021-04-01,13,21,226400,154800,125
219,2021-04-01,69,1,10700,8700,0
220,2021-04-01,36,8,50500,33300,33
221,2021-04-01,8,32,340100,205900,692
222,2021-04-01,9,36,331400,217000,158
223,2021-04-01,23,9,72100,46100,87
224,2021-04-01,55,3,33700,23400,0
225,2021-04-01,50,2,20700,14100,0
226,2021-04-01,45,3,28400,20900,10
227,2021-04-01,18,6,66100,45300,27
228,2021-04-01,80,2,23400,16600,0
229,2021-04-01,24,9,66800,38500,51
230,2021-04-01,71,5,45000,26400,0
231,2021-04-01,84,1,1700,1300,0
232,2021-04-01,61,1,14600,10700,0
233,2021-04-01,5,16,229100,165300,0
234,2021-04-01,62,8,34900,25600,0
235,2021-04-01,15,10,208100,151900,0
236,2021-04-01,1,20,809100,453800,3099
237,2021-04-01,22,8,67900,51200,26
238,2021-04-01,21,10,188600,123800,0
239,2021-04-01,4,48,560900,372500,619
240,2021-04-01,64,6,32600,24900,0
241,2021-04-01,16,26,158000,103500,127
242,2021-04-01,57,1,23800,13200,49
243,2021-04-01,47,5,30000,20400,0
244,2021-04-01,12,11,261400,178800,354
245,2021-04-01,76,1,2500,1900,0
246,2021-04-01,43,5,88900,62700,150
247,2021-04-01,68,1,9800,7000,0
248,2021-04-01,32,8,104500,63100,0
249,2021-04-01,2,53,2023300,1155800,4485
250,2021-04-01,74,1,4300,3000,0
251,2021-04-01,48,8,70500,47900,0
252,2021-04-01,63,2,34400,20500,0
253,2021-04-01,35,7,114500,66200,27
254,2021-04-01,49,10,78700,52800,34
255,2021-04-01,10,9,144200,90200,36
256,2021-04-01,46,5,36100,26400,0
257,2021-04-01,77,2,10300,9200,0
258,2021-04-01,37,6,73100,52000,0
259,2021-04-01,65,3,15400,10500,0
260,2021-04-01,44,11,119700,47700,194
261,2021-04-01,31,7,40900,32600,0
262,2021-04-01,3,72,1301300,825700,1598
263,2021-04-01,28,11,198600,112000,0
264,2021-04-01,11,25,262400,178700,490
265,2021-04-01,53,10,96900,67800,8
266,2021-04-01,54,3,22200,16800,0
267,2021-04-01,60,8,49700,32900,0
268,2021-04-01,51,6,3500,1600,0
269,2021-04-01,30,11,78700,51100,230
270,2021-04-01,58,16,103600,72600,0
271,2021-04-01,26,15,82700,61500,0
272,2021-04-01,67,7,66200,46100,0
273,2021-04-01,41,5,25400,19400,0
274,2021-04-01,40,13,71900,49300,12
275,2021-04-01,33,20,212000,148900,30
276,2021-04-01,56,2,14700,9300,0
277,2021-04-01,34,9,67900,47700,36
278,2021-04-01,6,19,104900,68700,0
279,2021-04-01,38,10,53900,35800,0
280,2021-04-01,20,15,278800,173600,0
281,2021-04-01,79,2,2200,1700,0
282,2021-04-01,52,2,47200,29600,0
283,2021-04-01,39,10,107700,56000,42
284,2021-04-01,59,1,6900,5400,0
285,2021-04-01,72,1,9100,9100,0
286,2021-04-01,29,7,165900,98000,373
287,2021-05-01,68,1,9800,7000,0
288,2021-05-01,39,13,152600,87200,42
289,2021-05-01,52,3,58300,36300,50
290,2021-05-01,46,10,82700,60600,0
291,2021-05-01,25,26,156500,103200,68
292,2021-05-01,34,21,134800,96200,36
293,2021-05-01,17,22,387100,249700,217
294,2021-05-01,79,2,2200,1700,0
295,2021-05-01,22,11,79200,59100,66
296,2021-05-01,48,8,70500,47900,0
297,2021-05-01,31,10,56400,44300,0
298,2021-05-01,56,4,32400,19700,0
299,2021-05-01,5,24,387100,263000,29
300,2021-05-01,55,3,33700,23400,0
301,2021-05-01,64,6,32600,24900,0
302,2021-05-01,41,8,80500,56500,0
303,2021-05-01,58,17,115100,81300,0
304,2021-05-01,6,24,233600,150400,0
305,2021-05-01,72,1,9100,9100,0
306,2021-05-01,12,13,312400,207900,354
307,2021-05-01,61,1,14600,10700,0
308,2021-05-01,69,1,10700,8700,0
309,2021-05-01,32,9,123800,75300,0
310,2021-05-01,59,1,6900,5400,0
311,2021-05-01,23,16,154800,101100,116
312,2021-05-01,2,69,2170700,1244100,4896
313,2021-05-01,7,37,671100,437600,933
314,2021-05-01,71,5,45000,26400,0
315,2021-05-01,74,1,4300,3000,0
316,2021-05-01,27,16,198300,124000,120
317,2021-05-01,45,9,105200,73300,157
318,2021-05-01,44,12,135200,55600,234
319,2021-05-01,24,12,108700,68200,51
320,2021-05-01,20,16,312600,191300,0
321,2021-05-01,15,10,208100,151900,0
322,2021-05-01,21,14,243700,159700,0
323,2021-05-01,16,46,459200,297900,436
324,2021-05-01,50,2,20700,14100,0
325,2021-05-01,10,14,197900,128000,36
326,2021-05-01,62,13,63500,46400,0
327,2021-05-01,84,1,1700,1300,0
328,2021-05-01,19,47,403100,258500,315
329,2021-05-01,35,8,121700,69500,59
330,2021-05-01,53,10,96900,67800,8
331,2021-05-01,43,5,88900,62700,150
332,2021-05-01,28,13,225100,128600,38
333,2021-05-01,51,6,3500,1600,0
334,2021-05-01,42,14,104000,74400,12
335,2021-05-01,80,2,23400,16600,0
336,2021-05-01,37,7,81500,57800,0
337,2021-05-01,29,10,179900,107300,397
338,2021-05-01,54,3,22200,16800,0
339,2021-05-01,18,7,83100,56100,27
340,2021-05-01,47,7,51900,38200,0
341,2021-05-01,26,19,102600,75300,55
342,2021-05-01,9,62,498000,321800,351
343,2021-05-01,76,1,2500,1900,0
344,2021-05-01,30,11,78700,51100,230
345,2021-05-01,67,7,66200,46100,0
346,2021-05-01,8,45,566900,341100,817
347,2021-05-01,77,2,10300,9200,0
348,2021-05-01,14,8,165900,109900,91
349,2021-05-01,3,98,1913300,1243400,1883
350,2021-05-01,13,24,255500,185900,125
351,2021-05-01,33,22,238000,164700,30
352,2021-05-01,1,26,989300,515700,3884
353,2021-05-01,75,1,5100,4000,0
354,2021-05-01,36,9,56300,37500,33
355,2021-05-01,11,33,327600,220800,490
356,2021-05-01,40,16,90000,61700,35
357,2021-05-01,4,74,854900,569900,683
358,2021-05-01,57,2,38700,25400,49
359,2021-05-01,38,11,56800,37400,0
360,2021-05-01,66,3,6100,5500,0
361,2021-05-01,63,4,50300,30800,0
362,2021-05-01,65,5,29300,20700,0
363,2021-05-01,49,11,86200,56700,34
364,2021-05-01,60,9,52300,34500,0
365,2021-06-01,53,12,105100,72900,8
366,2021-06-01,56,5,33800,19700,0
367,2021-06-01,8,52,659200,400000,1018
368,2021-06-01,36,10,59800,40000,33
369,2021-06-01,35,11,151200,87300,90
370,2021-06-01,1,30,1335600,690300,4266
371,2021-06-01,6,27,244900,157800,0
372,2021-06-01,37,9,115000,78500,94
373,2021-06-01,48,8,70500,47900,0
374,2021-06-01,16,56,488000,315400,468
375,2021-06-01,5,29,471600,327400,409
376,2021-06-01,13,27,297500,212500,125
377,2021-06-01,32,12,162100,104000,1
378,2021-06-01,75,2,6400,4900,0
379,2021-06-01,17,26,418100,267300,274
380,2021-06-01,61,1,14600,10700,0
381,2021-06-01,23,18,172900,111300,206
382,2021-06-01,20,17,325800,199900,0
383,2021-06-01,45,9,105200,73300,157
384,2021-06-01,55,3,33700,23400,0
385,2021-06-01,21,16,275000,181500,0
386,2021-06-01,68,1,9800,7000,0
387,2021-06-01,51,6,3500,1600,0
388,2021-06-01,66,3,6100,5500,0
389,2021-06-01,15,13,237000,170700,0
390,2021-06-01,40,17,92500,63600,35
391,2021-06-01,28,22,255200,150700,38
392,2021-06-01,62,14,64100,46900,0
393,2021-06-01,14,9,192900,127300,91
394,2021-06-01,31,11,65000,50900,0
395,2021-06-01,29,10,179900,107300,397
396,2021-06-01,38,11,56800,37400,0
397,2021-06-01,22,19,88900,66300,66
398,2021-06-01,69,1,10700,8700,0
399,2021-06-01,26,19,102600,75300,55
400,2021-06-01,33,25,258500,178900,30
401,2021-06-01,3,101,1946000,1265700,1883
402,2021-06-01,58,19,149100,102700,0
403,2021-06-01,9,67,543700,349100,436
404,2021-06-01,43,6,97600,69100,150
405,2021-06-01,60,12,55800,37400,0
406,2021-06-01,47,9,71500,52000,42
407,2021-06-01,57,4,71100,49800,49
408,2021-06-01,34,22,140000,99900,36
409,2021-06-01,67,7,66200,46100,0
410,2021-06-01,44,12,135200,55600,234
411,2021-06-01,27,18,233300,144400,187
412,2021-06-01,79,2,2200,1700,0
413,2021-06-01,77,2,10300,9200,0
414,2021-06-01,74,2,6400,4700,0
415,2021-06-01,54,4,30800,21700,0
416,2021-06-01,84,1,1700,1300,0
417,2021-06-01,7,39,717400,468800,933
418,2021-06-01,12,15,375200,242900,642
419,2021-06-01,50,3,35500,23600,0
420,2021-06-01,46,13,101100,75100,0
421,2021-06-01,76,1,2500,1900,0
422,2021-06-01,24,17,147200,96800,51
423,2021-06-01,49,11,86200,56700,34
424,2021-06-01,25,28,183500,120500,68
425,2021-06-01,4,85,1049300,708500,751
426,2021-06-01,18,11,139900,94300,27
427,2021-06-01,2,78,2360900,1358600,5461
428,2021-06-01,72,1,9100,9100,0
429,2021-06-01,10,14,197900,128000,36
430,2021-06-01,65,7,73200,41600,0
431,2021-06-01,64,6,32600,24900,0
432,2021-06-01,63,5,52900,32600,0
433,2021-06-01,41,8,80500,56500,0
434,2021-06-01,19,49,434100,278600,315
435,2021-06-01,52,3,58300,36300,50
436,2021-06-01,30,14,92500,60600,230
437,2021-06-01,80,2,23400,16600,0
438,2021-06-01,39,13,152600,87200,42
439,2021-06-01,71,6,50400,30500,0
440,2021-06-01,59,1,6900,5400,0
441,2021-06-01,11,40,424900,275600,826
442,2021-06-01,42,16,131700,93300,12
443,2021-07-01,15,14,274500,196600,0
444,2021-07-01,45,18,163900,114900,172
445,2021-07-01,53,12,105100,72900,8
446,2021-07-01,48,8,70500,47900,0
447,2021-07-01,38,13,71600,46400,0
448,2021-07-01,69,2,23100,17000,0
449,2021-07-01,11,44,515500,327400,1088
450,2021-07-01,68,1,9800,7000,0
451,2021-07-01,66,3,6100,5500,0
452,2021-07-01,44,14,170700,77800,234
453,2021-07-01,3,131,2543900,1646000,2039
454,2021-07-01,47,9,71500,52000,42
455,2021-07-01,63,5,52900,32600,0
456,2021-07-01,42,18,137800,96300,23
457,2021-07-01,67,7,66200,46100,0
458,2021-07-01,6,33,305100,194600,0
459,2021-07-01,77,2,10300,9200,0
460,2021-07-01,32,14,173500,112200,1
461,2021-07-01,16,60,507500,328400,468
462,2021-07-01,18,11,139900,94300,27
463,2021-07-01,60,16,60900,41300,0
464,2021-07-01,57,5,74900,52500,49
465,2021-07-01,26,19,102600,75300,55
466,2021-07-01,25,48,191100,127500,68
467,2021-07-01,10,17,266800,166400,254
468,2021-07-01,65,7,73200,41600,0
469,2021-07-01,1,33,1502300,794500,4729
470,2021-07-01,75,2,6400,4900,0
471,2021-07-01,23,19,181600,117800,206
472,2021-07-01,55,7,78600,54900,0
473,2021-07-01,41,9,82600,58200,0
474,2021-07-01,27,21,282900,177900,187
475,2021-07-01,14,9,192900,127300,91
