region_code,region_name,year,quarter,buildings_count,apartments_count,total_living_area
55,Омская область,2025,4,4,816,38150
56,Оренбургская область,2025,4,18,1190,63344
57,Орловская область,2025,4,4,622,34032
58,Пензенская область,2025,4,10,2779,127572
59,Пермский край,2025,4,20,5476,276067
60,Псковская область,2025,4,15,1694,78874
61,Ростовская область,2025,4,46,10872,513992
62,Рязанская область,2025,4,1,124,6520
63,Самарская область,2025,4,13,1802,100883
64,Саратовская область,2025,4,10,438,25693
65,Сахалинская область,2025,4,0,,
66,Свердловская область,2025,4,58,18442,917408
67,Смоленская область,2025,4,4,302,16240
68,Тамбовская область,2025,4,5,692,28442
69,Тверская область,2025,4,0,,
70,Томская область,2025,4,5,1389,68883
71,Тульская область,2025,4,10,2087,99676
72,Тюменская область,2025,4,33,6373,318405
73,Ульяновская область,2025,4,6,765,41253
74,Челябинская область,2025,4,32,5158,254879
75,Забайкальский край,2025,4,1,70,4055
76,Ярославская область,2025,4,26,2771,140038
77,Город Москва,2025,4,37,17810,1033340
78,Город Санкт-Петербург,2025,4,26,10148,482334
79,Еврейская АО,2025,4,1,12,498
83,Ненецкий АО,2025,4,1,41,2215
86,Ханты-Мансийский АО - Югра,2025,4,9,1499,83285
87,Чукотский АО,2025,4,4,265,13855
89,Ямало-Ненецкий АО,2025,4,4,397,20702
90,Запорожская область,2025,4,5,1252,46491
91,Республика Крым,2025,4,49,3640,180055
92,Город Севастополь,2025,4,5,498,24832
93,Донецкая Народная Республика,2025,4,13,2005,84373
94,Луганская Народная Республика,2025,4,14,1836,89126
95,Херсонская область,2025,4,3,678,27254
1,Республика Адыгея,2025,3,8,1542,72995
2,Республика Башкортостан,2025,3,22,5415,250287
3,Республика Бурятия,2025,3,7,1054,54451
4,Республика Алтай,2025,3,5,419,20270
5,Республика Дагестан,2025,3,10,1458,100551
7,Кабардино-Балкарская Республика,2025,3,8,720,47987
8,Республика Калмыкия,2025,3,1,44,2623
9,Карачаево-Черкесская Республика,2025,3,2,319,26758
10,Республика Карелия,2025,3,3,524,24949
11,Республика Коми,2025,3,3,533,31912
12,Республика Марий Эл,2025,3,14,1697,109218
13,Республика Мордовия,2025,3,1,159,7491
14,Республика Саха (Якутия),2025,3,10,1880,83679
15,Республика Северная Осетия,2025,3,5,659,34704
16,Республика Татарстан,2025,3,13,4867,243168
17,Республика Тыва,2025,3,12,1080,49135
18,Удмуртская Республика,2025,3,6,1525,74684
19,Республика Хакасия,2025,3,2,88,3609
20,Чеченская Республика,2025,3,23,4188,215805
21,Чувашская Республика,2025,3,11,1204,69486
22,Алтайский край,2025,3,10,1372,65301
23,Краснодарский край,2025,3,63,19279,874981
24,Красноярский край,2025,3,14,3507,199598
25,Приморский край,2025,3,17,3698,177671
26,Ставропольский край,2025,3,43,5477,274977
27,Хабаровский край,2025,3,26,3084,158891
28,Амурская область,2025,3,4,1008,47005
29,Архангельская область,2025,3,16,2205,121644
30,Астраханская область,2025,3,3,914,38000
31,Белгородская область,2025,3,18,1380,70653
32,Брянская область,2025,3,3,801,40907
33,Владимирская область,2025,3,5,317,17267
34,Волгоградская область,2025,3,12,1679,77810
35,Вологодская область,2025,3,10,1537,78666
36,Воронежская область,2025,3,22,5317,267414
37,Ивановская область,2025,3,6,484,28968
38,Иркутская область,2025,3,12,1647,79566
39,Калининградская область,2025,3,42,4135,217968
40,Калужская область,2025,3,4,502,24862
42,Кемеровская область - Кузбасс,2025,3,11,1689,75227
43,Кировская область,2025,3,11,1144,59608
44,Костромская область,2025,3,5,451,26109
45,Курганская область,2025,3,1,34,1218
46,Курская область,2025,3,6,2005,106592
47,Ленинградская область,2025,3,55,12543,509458
48,Липецкая область,2025,3,32,491,27874
49,Магаданская область,2025,3,2,268,13348
50,Московская область,2025,3,88,6147,291818
52,Нижегородская область,2025,3,21,3620,178463
53,Новгородская область,2025,3,2,175,9167
54,Новосибирская область,2025,3,83,3965,202478
55,Омская область,2025,3,10,1327,71448
56,Оренбургская область,2025,3,9,1630,82379
57,Орловская область,2025,3,2,423,23565
58,Пензенская область,2025,3,9,2152,108146
59,Пермский край,2025,3,16,3453,161821
60,Псковская область,2025,3,6,635,28603
61,Ростовская область,2025,3,37,11971,613631
62,Рязанская область,2025,3,7,2426,125445
63,Самарская область,2025,3,30,1728,79535
64,Саратовская область,2025,3,7,2634,159892
65,Сахалинская область,2025,3,2,847,38290
66,Свердловская область,2025,3,41,13922,739660
67,Смоленская область,2025,3,5,562,30462
68,Тамбовская область,2025,3,10,954,49574
69,Тверская область,2025,3,2,52,4153
70,Томская область,2025,3,1,654,30811
71,Тульская область,2025,3,6,1042,75143
72,Тюменская область,2025,3,22,5629,271211
73,Ульяновская область,2025,3,7,1051,47906
74,Челябинская область,2025,3,18,3752,186380
75,Забайкальский край,2025,3,12,1855,81314
76,Ярославская область,2025,3,18,1626,81649
