month_dt,region_desc,obj_cnt,total_area,living_area,elem_1k_cnt,elem_2k_cnt,elem_3k_cnt,elem_4k_cnt,elem_parking_cnt
2021-03-01,Удмуртская Республика,10,134000,84100,708,697,275,0,105
2021-03-01,Москва город,7,276200,156700,2081,683,345,38,755
2021-03-01,Крым Республика,10,53900,35800,552,197,30,4,0
2021-03-01,Бурятия Республика,1,7800,4900,65,26,11,0,0
2021-03-01,Приморский край,7,165900,98000,674,499,105,89,373
2021-03-01,Коми Республика,2,34400,20500,311,105,80,0,0
2021-03-01,Кировская область,5,24800,16100,126,165,46,9,23
2021-03-01,Липецкая область,3,48800,36400,299,237,110,0,0
2021-03-01,Кабардино-Балкарская Республика,3,6100,5500,60,30,0,0,0
2021-03-01,Астраханская область,1,23800,13200,82,108,26,0,49
2021-03-01,Курская область,1,6900,5400,41,40,19,0,0
2021-03-01,Смоленская область,2,8700,6700,57,62,10,0,0
2021-03-01,Ульяновская область,6,30500,21600,316,138,43,0,0
2021-03-01,Красноярский край,8,132100,84000,950,675,237,54,36
2021-03-01,Сахалинская область,4,18600,14600,62,122,46,0,0
2021-03-01,Московская область,57,817200,532300,6090,4822,845,66,654
2021-03-01,Костромская область,7,32400,24100,315,152,47,0,0
2021-03-01,Калмыкия Республика,1,4200,3700,25,25,10,0,0
2021-03-01,Башкортостан Республика,9,153900,107800,1423,592,300,0,0
2021-03-01,Белгородская область,2,10900,7500,87,36,13,3,0
2021-03-01,Тюменская область,19,207000,141100,1807,950,205,18,125
2021-03-01,Хакасия Республика,5,42700,30300,332,193,44,4,0
2021-03-01,Омская область,1,32300,20600,412,41,0,0,0
2021-03-01,Владимирская область,2,20800,14800,159,127,25,0,0
2021-03-01,Ненецкий Автономный округ,2,23400,16600,63,148,131,0,0
2021-03-01,Мурманская область,2,2200,1700,16,19,3,0,0
2021-03-01,Дагестан Республика,1,14600,10700,93,66,3,6,0
2021-03-01,Самарская область,4,79100,54700,525,275,152,0,98
2021-03-01,Архангельская область,7,34800,25200,272,183,63,3,12
2021-03-01,Саха (Якутия) Республика ,3,28400,20900,335,82,16,0,10
2021-03-01,Иркутская область,1,10800,6500,53,73,0,0,0
2021-03-01,Санкт-Петербург город,25,1156100,620000,10086,2950,1162,82,2972
2021-03-01,Еврейская Автономная область,1,1700,1300,12,12,3,0,0
2021-03-01,Челябинская область,5,59700,40400,263,284,153,14,27
2021-03-01,Тамбовская область,6,3500,1600,48,0,0,0,0
2021-03-01,Адыгея Республика,2,20700,14100,260,106,0,0,0
2021-03-01,Калининградская область,12,82600,53000,585,337,122,8,55
2021-03-01,Нижегородская область,4,47700,29800,288,188,87,17,87
2021-03-01,Новгородская область,1,4300,3000,32,24,8,0,0
2021-03-01,Ханты-Мансийский АО - Югра,8,76100,47500,377,355,126,7,1
2021-03-01,Алтайский край,8,136500,92000,498,526,443,95,0
2021-03-01,Марий Эл Республика,6,43300,30000,278,208,99,0,0
2021-03-01,Ленинградская область,18,72500,48500,651,273,116,28,0
2021-03-01,Забайкальский край,1,9100,9100,120,48,0,0,0
2021-03-01,Пермский край,13,254600,159400,1442,965,595,30,139
2021-03-01,Воронежская область,8,187100,138800,1277,771,509,1,0
2021-03-01,Ростовская область,31,257300,160600,1575,992,493,9,89
2021-03-01,Чувашская Республика,15,169200,117200,1039,872,296,9,30
2021-03-01,Татарстан Республика,17,138500,101000,925,750,392,0,184
2021-03-01,Рязанская область,5,58100,37900,445,254,81,0,0
2021-03-01,Вологодская область,3,10100,7000,52,44,26,4,0
2021-03-01,Чеченская Республика,1,10700,8700,60,60,0,0,0
2021-03-01,Ямало-Ненецкий Автономный округ,8,49700,32900,371,229,95,10,0
2021-03-01,Саратовская область,10,169400,101300,1039,804,265,0,0
2021-03-01,Оренбургская область,3,17800,14000,122,75,64,0,0
2021-03-01,Ивановская область,3,22200,16800,173,125,27,0,0
2021-03-01,Алтай Республика,1,2500,1900,32,8,0,0,0
2021-03-01,Псковская область,9,84200,58600,756,273,181,10,8
2021-03-01,Тульская область,7,154900,82500,726,480,260,0,0
2021-03-01,Хабаровский край,8,103000,38400,304,187,104,28,194
2021-03-01,Краснодарский край,34,393200,253300,3686,1790,228,17,597
2021-03-01,Калужская область,15,82700,61500,727,479,68,0,0
2021-03-01,Новосибирская область,22,273200,161300,1061,1108,718,116,651
2021-03-01,Тверская область,6,56000,39000,347,263,111,0,12
2021-03-01,Мордовия Республика,4,42200,24500,248,152,64,0,0
2021-03-01,Кемеровская область - Кузбасс,2,17900,11000,135,51,30,0,0
2021-03-01,Севастополь город,12,62600,44400,501,326,62,14,0
2021-03-01,Волгоградская область,11,78700,51100,629,152,113,0,230
2021-03-01,Свердловская область,26,520700,340400,3311,2006,941,22,553
2021-03-01,Брянская область,4,73200,43000,230,391,90,2,0
2021-03-01,Карелия Республика,6,50700,34900,186,311,122,39,34
2021-03-01,Ставропольский край,9,190400,127000,1266,800,305,8,129
2021-03-01,Пензенская область,6,102100,59700,835,331,152,6,27
2021-03-01,Ярославская область,5,38400,25400,184,205,51,3,0
2021-03-01,Северная Осетия - Алания Республика,4,23500,16800,125,112,48,0,0
2021-04-01,Пермский край,16,283600,179700,1601,1100,678,38,188
2021-04-01,Ставропольский край,11,216500,142000,1419,902,345,12,166
2021-04-01,Иркутская область,12,111200,68500,674,388,160,0,68
2021-04-01,Тверская область,9,93100,64500,548,401,202,14,12
2021-04-01,Рязанская область,7,102500,68700,742,510,158,0,91
2021-04-01,Кабардино-Балкарская Республика,3,6100,5500,60,30,0,0,0
2021-04-01,Свердловская область,34,619300,408000,3922,2439,1160,23,769
2021-04-01,Удмуртская Республика,13,164100,103000,937,862,325,8,105
2021-04-01,Тюменская область,21,226400,154800,1965,1058,221,18,125
2021-04-01,Чеченская Республика,1,10700,8700,60,60,0,0,0
2021-04-01,Кировская область,8,50500,33300,272,283,110,28,33
2021-04-01,Новосибирская область,32,340100,205900,1429,1409,908,122,692
2021-04-01,Ростовская область,36,331400,217000,2413,1244,603,9,158
2021-04-01,Нижегородская область,9,72100,46100,498,283,125,17,87
2021-04-01,Орловская область,3,33700,23400,186,141,99,0,0
2021-04-01,Адыгея Республика,2,20700,14100,260,106,0,0,0
2021-04-01,Саха (Якутия) Республика ,3,28400,20900,335,82,16,0,10
2021-04-01,Челябинская область,6,66100,45300,358,303,153,14,27
2021-04-01,Ненецкий Автономный округ,2,23400,16600,63,148,131,0,0
2021-04-01,Ярославская область,9,66800,38500,230,303,88,6,51
2021-04-01,Мордовия Республика,5,45000,26400,257,161,73,0,0
2021-04-01,Еврейская Автономная область,1,1700,1300,12,12,3,0,0
2021-04-01,Дагестан Республика,1,14600,10700,93,66,3,6,0
2021-04-01,Башкортостан Республика,16,229100,165300,1982,929,488,2,0
2021-04-01,Костромская область,8,34900,25600,323,171,50,0,0
2021-04-01,Воронежская область,10,208100,151900,1381,883,533,1,0
2021-04-01,Москва город,20,809100,453800,4724,2042,961,176,3099
2021-04-01,Владимирская область,8,67900,51200,611,332,121,3,26
2021-04-01,Алтайский край,10,188600,123800,648,813,567,111,0
2021-04-01,Краснодарский край,48,560900,372500,5641,2451,314,29,619
2021-04-01,Сахалинская область,6,32600,24900,152,172,64,0,0
2021-04-01,Калининградская область,26,158000,103500,1072,752,212,8,127
2021-04-01,Астраханская область,1,23800,13200,82,108,26,0,49
2021-04-01,Северная Осетия - Алания Республика,5,30000,20400,145,148,54,0,0
2021-04-01,Самарская область,11,261400,178800,1677,972,512,0,354
2021-04-01,Алтай Республика,1,2500,1900,32,8,0,0,0
2021-04-01,Липецкая область,5,88900,62700,571,430,111,0,150
2021-04-01,Томская область,1,9800,7000,53,60,0,15,0
2021-04-01,Брянская область,8,104500,63100,359,532,139,10,0
2021-04-01,Санкт-Петербург город,53,2023300,1155800,18623,5731,1927,145,4485
2021-04-01,Новгородская область,1,4300,3000,32,24,8,0,0
2021-04-01,Марий Эл Республика,8,70500,47900,401,302,168,4,0
2021-04-01,Коми Республика,2,34400,20500,311,105,80,0,0
2021-04-01,Пензенская область,7,114500,66200,873,369,175,6,27
2021-04-01,Карелия Республика,10,78700,52800,239,463,262,40,34
2021-04-01,Красноярский край,9,144200,90200,1014,739,237,54,36
2021-04-01,Смоленская область,5,36100,26400,288,149,70,0,0
2021-04-01,Калмыкия Республика,2,10300,9200,80,60,20,0,0
2021-04-01,Кемеровская область - Кузбасс,6,73100,52000,1011,51,30,0,0
2021-04-01,Белгородская область,3,15400,10500,114,54,22,3,0
2021-04-01,Хабаровский край,11,119700,47700,375,287,129,28,194
2021-04-01,Вологодская область,7,40900,32600,370,216,80,4,0
2021-04-01,Московская область,72,1301300,825700,9931,6800,1395,121,1598
2021-04-01,Тульская область,11,198600,112000,894,719,326,0,0
2021-04-01,Татарстан Республика,25,262400,178700,1628,1327,640,1,490
2021-04-01,Псковская область,10,96900,67800,772,321,229,10,8
